"Dataset","#TrainingRelease","%Training","%DefectiveInTraining","%DefectiveInTesting","Classifier","Balancing","Feature Selection","TruePositive","FalsePositive","TrueNegative","FalseNegative","Precision","Recall","AUC","Kappa"
"BOOK","2","28.57142857142857","0.02930056710775047","0.04017013232514178","Random Forest","No Sampling","No Selection","0.0064039408866995075","0.5764705882352941","0.4235294117647059","0.9935960591133005","0.20967741935483872","0.0064039408866995075","0.00552883222254419","-0.04714512348844677"
"BOOK","2","28.57142857142857","0.02930056710775047","0.04017013232514178","Random Forest","No Sampling","Best First","0.0064039408866995075","0.6235294117647059","0.3764705882352941","0.9935960591133005","0.19696969696969696","0.0064039408866995075","0.006084468270066647","-0.0511322711688611"
"BOOK","2","28.57142857142857","0.02930056710775047","0.04017013232514178","Random Forest","Undersampling","No Selection","0.05270935960591133","0.9882352941176471","0.011764705882352941","0.9472906403940887","0.5602094240837696","0.05270935960591133","0.013494639235004347","-0.08231863955603774"
"BOOK","2","28.57142857142857","0.02930056710775047","0.04017013232514178","Random Forest","Undersampling","Best First","0.029556650246305417","0.8176470588235294","0.18235294117647058","0.9704433497536946","0.46332046332046334","0.029556650246305417","0.031077948420747608","-0.0672931142519403"
"BOOK","2","28.57142857142857","0.02930056710775047","0.04017013232514178","Random Forest","Oversampling","No Selection","0.047783251231527095","0.8705882352941177","0.12941176470588237","0.952216748768473","0.5672514619883041","0.047783251231527095","0.01973920602723848","-0.07168906713323259"
"BOOK","2","28.57142857142857","0.02930056710775047","0.04017013232514178","Random Forest","Oversampling","Best First","0.027093596059113302","0.7588235294117647","0.2411764705882353","0.9729064039408867","0.4602510460251046","0.027093596059113302","0.029145899739206026","-0.062181384121856004"
"BOOK","2","28.57142857142857","0.02930056710775047","0.04017013232514178","Random Forest","SMOTE","No Selection","0.0064039408866995075","0.6352941176470588","0.36470588235294116","0.9935960591133005","0.19402985074626866","0.0064039408866995075","0.005239061141698058","-0.05213138656325102"
"BOOK","2","28.57142857142857","0.02930056710775047","0.04017013232514178","Random Forest","SMOTE","Best First","0.0064039408866995075","0.6176470588235294","0.38235294117647056","0.9935960591133005","0.1984732824427481","0.0064039408866995075","0.011201101130107215","-0.05063306331353241"
"BOOK","2","28.57142857142857","0.02930056710775047","0.04017013232514178","Naive Bayes","No Sampling","No Selection","0.026108374384236452","0.9647058823529412","0.03529411764705882","0.9738916256157636","0.3925925925925926","0.026108374384236452","0.011359026369168357","-0.08035724253418924"
"BOOK","2","28.57142857142857","0.02930056710775047","0.04017013232514178","Naive Bayes","No Sampling","Best First","0.022167487684729065","0.9588235294117647","0.041176470588235294","0.9778325123152709","0.3557312252964427","0.022167487684729065","0.015205013039698638","-0.07986346815832109"
"BOOK","2","28.57142857142857","0.02930056710775047","0.04017013232514178","Naive Bayes","UnderSampling","No Selection","0.02413793103448276","0.9764705882352941","0.023529411764705882","0.9758620689655172","0.3712121212121212","0.02413793103448276","0.009753694581280788","-0.08141531098344937"
"BOOK","2","28.57142857142857","0.02930056710775047","0.04017013232514178","Naive Bayes","Undersampling","Best First","0.021182266009852218","0.9647058823529412","0.03529411764705882","0.9788177339901478","0.344","0.021182266009852218","0.011585772239930455","-0.08039107972816996"
"BOOK","2","28.57142857142857","0.02930056710775047","0.04017013232514178","Naive Bayes","Oversampling","No Selection","0.027093596059113302","0.9647058823529412","0.03529411764705882","0.9729064039408867","0.40145985401459855","0.027093596059113302","0.011753115039119097","-0.08035043587199854"
"BOOK","2","28.57142857142857","0.02930056710775047","0.04017013232514178","Naive Bayes","Oversampling","Best First","0.022660098522167486","0.9588235294117647","0.041176470588235294","0.9773399014778326","0.3607843137254902","0.022660098522167486","0.012601419878296147","-0.07985984297221888"
"BOOK","2","28.57142857142857","0.02930056710775047","0.04017013232514178","Naive Bayes","SMOTE","No Selection","0.02561576354679803","0.9764705882352941","0.023529411764705882","0.9743842364532019","0.3851851851851852","0.02561576354679803","0.01037380469429151","-0.0814066424783701"
"BOOK","2","28.57142857142857","0.02930056710775047","0.04017013232514178","Naive Bayes","SMOTE","Best First","0.021921182266009854","0.9647058823529412","0.03529411764705882","0.9780788177339902","0.35177865612648224","0.021921182266009854","0.012108809040857722","-0.08038602488135924"
"BOOK","2","28.57142857142857","0.02930056710775047","0.04017013232514178","IBK","No Sampling","No Selection","0.0064039408866995075","0.5529411764705883","0.4470588235294118","0.9935960591133005","0.21666666666666667","0.0064039408866995075","0.22673138220805564","-0.04515711977015621"
"BOOK","2","28.57142857142857","0.02930056710775047","0.04017013232514178","IBK","No Sampling","Best First","0.006650246305418719","0.5352941176470588","0.4647058823529412","0.9933497536945812","0.2288135593220339","0.006650246305418719","0.3427549985511446","-0.04365836702606914"
"BOOK","2","28.57142857142857","0.02930056710775047","0.04017013232514178","IBK","Undersampling","No Selection","0.060098522167487685","0.8705882352941177","0.12941176470588237","0.9399014778325123","0.6224489795918368","0.060098522167487685","0.0946595189800058","-0.07149375164548098"
